file_name,original_size,compressed_size,compression_ratio,latency_ms,is_large_file,bug_triggered,checksum_ok,failed
small_text_6.txt,50000,37890,0.7578,2328.98,0,0,1,0
large_1.bin,5000000,5001548,1.0003096,2495.098,0,0,1,0
large_2.bin,10000000,10003073,1.0003073,2381.022,0,0,1,0
large_3.bin,20000000,20006123,1.00030615,2409.45,1,0,1,0
large_4.bin,50000000,50015273,1.00030546,2560.92,1,0,1,0
large_5.bin,75000000,75022898,1.0003053066666667,2703.128,1,0,1,0
large_6.bin,100000000,100030523,1.00030523,2806.14,1,0,1,0
medium_bin_2.bin,250000,250098,1.000392,2315.84,0,0,1,0
medium_bin_4.bin,1000000,1000328,1.000328,2348.941,0,0,1,0
medium_text_1.txt,100000,75763,0.75763,2318.869,0,0,1,0
medium_text_3.txt,500000,378799,0.757598,2335.243,0,0,1,0
small1.txt.txt,6,26,4.333333333333333,2317.144,0,0,1,0
small2.txt.txt,12,29,2.4166666666666665,2322.212,0,0,1,0
small_text_1.txt,5000,3818,0.7636,2321.399,0,0,1,0
small_text_2.txt,10000,7596,0.7596,2315.82,0,0,1,0
small_text_3.txt,20000,15182,0.7591,2318.001,0,0,1,0
small_text_4.txt,30000,22740,0.758,2315.898,0,0,1,0
small_text_5.txt,40000,30320,0.758,2318.694,0,0,1,0
small_text_6.txt,50000,37890,0.7578,2355.345,0,0,1,0
large_1.bin,5000000,5001548,1.0003096,2507.399,0,0,1,0
large_2.bin,10000000,10003073,1.0003073,2377.582,0,0,1,0
large_3.bin,20000000,20006123,1.00030615,2516.631,1,0,1,0
large_4.bin,50000000,50015273,1.00030546,2588.256,1,0,1,0
large_5.bin,75000000,75022898,1.0003053066666667,3056.909,1,0,1,0
large_6.bin,100000000,100030523,1.00030523,3685.699,1,0,1,0
medium_bin_2.bin,250000,250098,1.000392,2804.235,0,0,1,0
medium_bin_4.bin,1000000,1000328,1.000328,2794.17,0,0,1,0
medium_text_1.txt,100000,75763,0.75763,2748.245,0,0,1,0
medium_text_3.txt,500000,378799,0.757598,2759.723,0,0,1,0
small1.txt.txt,6,26,4.333333333333333,2734.756,0,0,1,0
small2.txt.txt,12,29,2.4166666666666665,2697.534,0,0,1,0
small_text_1.txt,5000,3818,0.7636,2714.77,0,0,1,0
small_text_2.txt,10000,7596,0.7596,2702.241,0,0,1,0
small_text_3.txt,20000,15182,0.7591,2782.176,0,0,1,0
small_text_4.txt,30000,22740,0.758,2718.653,0,0,1,0
small_text_5.txt,40000,30320,0.758,2675.174,0,0,1,0
small_text_6.txt,50000,37890,0.7578,2667.851,0,0,1,0
large_1.bin,5000000,5001548,1.0003096,2486.303,0,0,1,0
large_2.bin,10000000,10003073,1.0003073,2381.505,0,0,1,0
large_3.bin,20000000,20006123,1.00030615,2431.892,1,0,1,0
large_4.bin,50000000,50015273,1.00030546,2583.981,1,0,1,0
large_5.bin,75000000,75022898,1.0003053066666667,2733.336,1,0,1,0
large_6.bin,100000000,100030523,1.00030523,2770.126,1,0,1,0
medium_bin_2.bin,250000,250098,1.000392,2343.105,0,0,1,0
medium_bin_4.bin,1000000,1000328,1.000328,2320.979,0,0,1,0
medium_text_1.txt,100000,75763,0.75763,2334.454,0,0,1,0
medium_text_3.txt,500000,378799,0.757598,2323.393,0,0,1,0
small1.txt.txt,6,26,4.333333333333333,2309.353,0,0,1,0
small2.txt.txt,12,29,2.4166666666666665,2317.531,0,0,1,0
small_text_1.txt,5000,3818,0.7636,2316.664,0,0,1,0
small_text_2.txt,10000,7596,0.7596,2326.112,0,0,1,0
small_text_3.txt,20000,15182,0.7591,2339.41,0,0,1,0
small_text_4.txt,30000,22740,0.758,2323.6,0,0,1,0
small_text_5.txt,40000,30320,0.758,2311.503,0,0,1,0
small_text_6.txt,50000,37890,0.7578,2340.647,0,0,1,0
large_1.bin,5000000,5001548,1.0003096,2490.109,0,0,1,0
large_2.bin,10000000,10003073,1.0003073,2340.799,0,0,1,0
large_3.bin,20000000,20006123,1.00030615,2427.499,1,0,1,0
large_4.bin,50000000,50015273,1.00030546,2575.66,1,0,1,0
large_5.bin,75000000,75022898,1.0003053066666667,2713.912,1,0,1,0
large_6.bin,100000000,100030523,1.00030523,2907.361,1,0,1,0
medium_bin_2.bin,250000,250098,1.000392,2706.175,0,0,1,0
medium_bin_4.bin,1000000,1000328,1.000328,2789.535,0,0,1,0
medium_text_1.txt,100000,75763,0.75763,2797.384,0,0,1,0
medium_text_3.txt,500000,378799,0.757598,2805.416,0,0,1,0
small1.txt.txt,6,26,4.333333333333333,2332.164,0,0,1,0
small2.txt.txt,12,29,2.4166666666666665,2330.208,0,0,1,0
small_text_1.txt,5000,3818,0.7636,2337.1,0,0,1,0
small_text_2.txt,10000,7596,0.7596,2330.658,0,0,1,0
small_text_3.txt,20000,15182,0.7591,2317.137,0,0,1,0
small_text_4.txt,30000,22740,0.758,2334.044,0,0,1,0
small_text_5.txt,40000,30320,0.758,2335.72,0,0,1,0
small_text_6.txt,50000,37890,0.7578,2321.935,0,0,1,0
large_1.bin,5000000,5001548,1.0003096,2487.518,0,0,1,0
large_2.bin,10000000,10003073,1.0003073,2381.227,0,0,1,0
large_3.bin,20000000,20006123,1.00030615,2420.269,1,0,1,0
large_4.bin,50000000,50015273,1.00030546,2580.48,1,0,1,0
large_5.bin,75000000,75022898,1.0003053066666667,2682.792,1,0,1,0
